2.393150461613189841e-05 8.839554501765655151e-11 9.921766558049002996e-13
2.448894096842227708e-05 1.210559871371438670e-10 1.102582180505434435e-12
2.505936168136362570e-05 1.848566573398150218e-10 1.216994302223947077e-12
2.564306919956823707e-05 2.613146596807610442e-10 1.334592951971788511e-12
2.624037301248861295e-05 3.451589066616511241e-10 1.452440129490835328e-12
2.685158981851265889e-05 4.332080514221893547e-10 1.570027206515200373e-12
2.747704369288124057e-05 5.227078458135372640e-10 1.684469991508905579e-12
2.811706625951745350e-05 6.116645876563575563e-10 1.792945436608263899e-12
2.877199686685782864e-05 6.974985860527517567e-10 1.893251030381957377e-12
2.944218276777941324e-05 7.771935897885637930e-10 1.982221664492990873e-12
3.012797930371789620e-05 8.492576374247272811e-10 2.057187589119196621e-12
3.082975009307410534e-05 9.120692969754986892e-10 2.115098431380407212e-12
3.154786722400964650e-05 9.645543257338728579e-10 2.153706555762227940e-12
3.228271145173280656e-05 1.004691270144274199e-09 2.170418096193809260e-12
3.303467240037981687e-05 1.031451671157577213e-09 2.164033236594667248e-12
3.380414876959908759e-05 1.045140850559672919e-09 2.133365032213969534e-12
3.459154854594680595e-05 1.045836381155797532e-09 2.078029483216749220e-12
3.539728921920685885e-05 1.034576892209870661e-09 2.000289919360555728e-12
3.622179800374952406e-05 1.012787212009592858e-09 1.902266161297420286e-12
3.706551206504588155e-05 9.819598552928519881e-10 1.787380886331024876e-12
3.792887875145917236e-05 9.443168916184453566e-10 1.661669286996326695e-12
3.881235583143463039e-05 9.031897423915510394e-10 1.531535196903677792e-12
3.971641173621410364e-05 8.608837248343084620e-10 1.405352153161964023e-12
4.064152580820497269e-05 8.207331672856846527e-10 1.292370193727240402e-12
4.158818855513353842e-05 7.857180987227543102e-10 1.202508222907877748e-12
4.255690191011879072e-05 7.576228378742294240e-10 1.145900332824649351e-12
4.354817949780397373e-05 7.399179319652465600e-10 1.131890752047985061e-12
4.456254690668728712e-05 7.329531313690678954e-10 1.168936880160137523e-12
4.560054196779547508e-05 7.382422390945308546e-10 1.262687919496478556e-12
4.666271503984951611e-05 7.550716220018098994e-10 1.415454579395309616e-12
4.774962930107184414e-05 7.821372575301482356e-10 1.626793009573972479e-12
4.886186104779054808e-05 8.176947671186617614e-10 1.890042250275390134e-12
4.999999999999999562e-05 8.592693187751029269e-10 2.194305580906635471e-12
5.057897271299489764e-05 8.810712867779913030e-10 2.357130869484296440e-12
5.116464961403766531e-05 9.030757646932731594e-10 2.523346797820306705e-12
5.175710833396715576e-05 9.250493545721480109e-10 2.690715254420848360e-12
